;NomVille;MAJ   ; Code Postal ; Code INSEE ;Code Région; Latitude ; Longitude ; Eloignement 
0;Saint-Denis-lès-Bourg;SAINT DENIS LES BOURG;1000;1344;82;46.2;5.2;1
1;Bourg-en-Bresse;BOURG EN BRESSE ;1000;1053;82;46.2;5.216667;1
2;Lurcy;LURCY   ;1090;1225;82;46.066667;4.766667;1.97
3;Montmerle-sur-Saône;MONTMERLE SUR SAONE ;1090;1263;82;46.083333;4.766667;1.97
4;Genouilleux;GENOUILLEUX   ;1090;1169;82;46.116667;4.783333;1.91
5;Guéreins;GUEREINS   ;1090;1183;82;46.1;4.783333;1.91
6;Amareins;AMAREINS   ;1090;1003;82;46.083333;4.8;1.85
7;AmareinsFrancheleinsCes;AMAREINS FRANCHELEINS CES ;1090;1165;82;46.066667;4.8;1.85
8;Montceaux;MONTCEAUX   ;1090;1258;82;46.1;4.8;1.85
9;Cesseins;CESSEINS   ;1090;1070;82;46.066667;4.833333;1.85
10;Géovreisset;GEOVREISSET   ;1100;1171;82;46.25;5.6;1.24
11;Bouvent;BOUVENT   ;1100;1055;82;46.283333;5.633333;1.21
12;Veyziat;VEYZIAT   ;1100;1440;82;46.283333;5.633333;1.21
13;Apremont;APREMONT   ;1100;1011;82;46.208333;5.658333;1.46
14;Oyonnax;OYONNAX   ;1100;1283;82;46.25;5.666667;1.1
15;Arbent;ARBENT   ;1100;1014;82;46.3;5.683333;1.39
16;Aranc;ARANC   ;1110;1012;82;46.0;5.5;1.01
17;Corlier;CORLIER   ;1110;1121;82;46.033333;5.5;1.25
18;Hostias;HOSTIAS   ;1110;1186;82;45.9;5.533333;1.11
19;Prémillieu;PREMILLIEU   ;1110;1311;82;45.866667;5.566667;1.43
20;Corcelles;CORCELLES   ;1110;1119;82;46.033333;5.583333;0.87
21;Brénod;BRENOD   ;1110;1060;82;46.066667;5.6;1.36
22;Champdor;CHAMPDOR   ;1110;1080;82;46.016667;5.6;0.87
23;Cormaranche-en-Bugey;CORMARANCHE EN BUGEY ;1110;1122;82;45.95;5.6;0.87
24;Hauteville-Lompnes;HAUTEVILLE LOMPNES  ;1110;1185;82;45.966667;5.6;0.87
25;Thézillieu;THEZILLIEU   ;1110;1417;82;45.883333;5.6;1.28
26;Thil;THIL   ;1120;1418;82;45.816667;5.016667;1.61
27;LaBoisse;LA BOISSE  ;1120;1049;82;45.85;5.033333;1.41
28;Cordieux;CORDIEUX   ;1120;1120;82;45.916667;5.033333;1.66
29;Montluel;MONTLUEL   ;1120;1262;82;45.85;5.05;1.41
